,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
524,x >= 200,18,none/duly paid,furniture,1126,1000 <= x, x < 1y,x < 20,female: non-single or male: single,none,1y <= x < 4y,unknown / no property,21,none,for free,1,skilled employee/official,0 to 2,yes,no,good
525,negative,12,fully paid,car (new),1860,unknown/no savings account,unemployed,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,34,none,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
526,x >= 200,36,fully paid,furniture,9566,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,31,stores,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
527,none,12,none/duly paid,furniture,701,unknown/no savings account,1<= x < 4y,x < 20,female : single,none,1y <= x < 4y,unknown / no property,40,none,rent,1,unskilled - resident,0 to 2,no,no,good
528,negative,12,none/duly paid,furniture,2930,unknown/no savings account,4 <= x < 7y,25 <= x < 35,female: non-single or male: single,none, x < 1y,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
529,x >= 200,18,none/duly paid,furniture,1505,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,real estate,32,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
530,x >= 200,18,fully paid,furniture,2238,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,25,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
531,x >= 200,4,fully paid,furniture,1503,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none, x < 1y,unknown / no property,42,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
532,x >= 200,24,fully paid,car (new),2197,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,43,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
533,0 <= x <= 200,12,none/duly paid,furniture,1881,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,44,none,for free,1,unskilled - resident,0 to 2,yes,no,good
534,none,18,fully paid,furniture,1880,unknown/no savings account,4 <= x < 7y,x < 20,female : single,none, x < 1y,car or other,32,none,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
535,none,18,none/duly paid,furniture,2389,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,27,stores,rent,1,skilled employee/official,0 to 2,no,no,good
536,negative,24,none/duly paid,furniture,1967,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,yes,no,good
537,x >= 200,4,fully paid,other,3380,unknown/no savings account,4 <= x < 7y,x >= 35,female: non-single or male: single,none, x < 1y,unknown / no property,37,none,rent,1,skilled employee/official,3 or more,no,no,good
538,x >= 200,4,fully paid,other,1455,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none, x < 1y,unknown / no property,42,none,rent,4 to 5,unskilled - resident,3 or more,no,no,good
539,x >= 200,7,fully paid,furniture,730,1000 <= x,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,46,none,for free,2 to 3,unskilled - resident,0 to 2,yes,no,good
540,negative,18,delayed,car (used),3244,unknown/no savings account,1<= x < 4y,x >= 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,33,bank,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
541,negative,9,none/duly paid,furniture,1670,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
542,negative,48,none/duly paid,furniture,3979,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none, x < 1y,building soc. savings agr./life insurance,41,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
543,negative,12,none/duly paid,car (used),1922,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,37,none,rent,1,unskilled - resident,0 to 2,no,no,bad
544,negative,18,fully paid,car (used),1295,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,car or other,27,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
545,x >= 200,4,fully paid,furniture,1544,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none, x < 1y,unknown / no property,42,none,rent,4 to 5,unskilled - resident,3 or more,no,no,good
546,negative,8,none/duly paid,retraining,907,unknown/no savings account, x < 1y,20 <= x < 25,female : single,none,1y <= x < 4y,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,yes,no,good
547,negative,30,none/duly paid,furniture,1715,1000 <= x,1<= x < 4y,x < 20,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
548,0 <= x <= 200,10,fully paid,furniture,1347,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,27,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
549,negative,12,none/duly paid,other,1007,500 <= x < 1000,1<= x < 4y,x < 20,female : single,none, x < 1y,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,good
550,x >= 200,12,fully paid,car (used),1402,100 <= x < 500,4 <= x < 7y,20 <= x < 25,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,37,none,for free,1,skilled employee/official,0 to 2,yes,no,good
551,negative,12,none/duly paid,other,2002,unknown/no savings account,4 <= x < 7y,20 <= x < 25,male : married/widowed,none,x >= 7y,car or other,30,none,for free,1,skilled employee/official,3 or more,yes,no,good
552,x >= 200,12,fully paid,repairs,2096,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,49,none,rent,1,unskilled - resident,3 or more,no,no,good
553,x >= 200,12,none/duly paid,other,1101,unknown/no savings account,1<= x < 4y,20 <= x < 25,female : single,none,1y <= x < 4y,unknown / no property,27,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
554,x >= 200,10,none/duly paid,vacation,894,1000 <= x,4 <= x < 7y,x < 20,female: non-single or male: single,none,4y <= x < 7y,car or other,40,none,rent,1,skilled employee/official,0 to 2,yes,no,good
555,negative,11,none/duly paid,car (used),1577,500 <= x < 1000, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,unknown / no property,20,none,rent,1,skilled employee/official,0 to 2,no,no,good
556,x >= 200,33,duly paid till now,retraining,2764,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,26,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
557,negative,48,delayed,other,8358,100 <= x < 500, x < 1y,x >= 35,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,30,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
558,0 <= x <= 200,12,none/duly paid,car (used),1474,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,car or other,33,bank,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
559,x >= 200,24,none/duly paid,car (new),5433,1000 <= x,unemployed,25 <= x < 35,female: non-single or male: single,none,x >= 7y,car or other,26,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
560,negative,14,none/duly paid,retraining,1410,100 <= x < 500,7y <= y,x >= 35,female : single,none,1y <= x < 4y,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,yes,no,good
561,x >= 200,20,fully paid,other,3485,1000 <= x, x < 1y,25 <= x < 35,male : divorced/separated,none,x >= 7y,unknown / no property,44,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
562,x >= 200,18,fully paid,car (new),3850,unknown/no savings account,4 <= x < 7y,20 <= x < 25,male : married/widowed,none, x < 1y,building soc. savings agr./life insurance,27,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
563,negative,60,none/duly paid,other,7408,x < 100 DM, x < 1y,x < 20,female: non-single or male: single,none,1y <= x < 4y,car or other,24,none,rent,1,manager/self-empl./highly qualif,0 to 2,no,no,bad
564,0 <= x <= 200,24,none/duly paid,furniture,1377,x < 100 DM,7y <= y,x < 20,female: non-single or male: single,none,1y <= x < 4y,real estate,47,none,own,1,skilled employee/official,0 to 2,yes,no,good
565,x >= 200,30,duly paid till now,retraining,4272,x < 100 DM,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,car or other,26,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
566,negative,24,duly paid till now,furniture,1553,x < 100 DM,4 <= x < 7y,20 <= x < 25,female: non-single or male: single,none,1y <= x < 4y,car or other,23,none,for free,2 to 3,skilled employee/official,0 to 2,yes,no,good
567,negative,36,duly paid till now,retraining,9857,x < 100 DM,4 <= x < 7y,x >= 35,male : married/widowed,none,4y <= x < 7y,car or other,31,none,rent,2 to 3,unskilled - resident,3 or more,yes,no,good
568,x >= 200,6,fully paid,other,362,x < 100 DM,1<= x < 4y,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,52,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
569,x >= 200,12,fully paid,car (used),1935,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,43,none,rent,4 to 5,skilled employee/official,0 to 2,yes,no,good
570,x >= 200,48,none/duly paid,furniture,10222,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,37,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
571,0 <= x <= 200,12,none/duly paid,other,1330,unknown/no savings account, x < 1y,x < 20,male : married/widowed,none, x < 1y,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
572,x >= 200,36,none/duly paid,repairs,9055,1000 <= x,1<= x < 4y,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,35,none,own,1,unskilled - resident,3 or more,yes,no,good
573,negative,26,none/duly paid,car (new),7966,unknown/no savings account, x < 1y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,30,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
574,negative,30,critical,car (used),3496,500 <= x < 1000,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,34,stores,rent,1,skilled employee/official,3 or more,yes,no,good
575,negative,36,none/duly paid,car (new),6948,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,35,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
576,negative,48,delayed,retraining,12204,1000 <= x,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
577,none,36,none/duly paid,car (used),3446,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,3 or more,no,no,bad
578,none,12,none/duly paid,repairs,684,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,40,none,for free,1,unskilled - resident,3 or more,no,no,bad
579,none,33,fully paid,car (used),4281,100 <= x < 500,1<= x < 4y,x >= 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,23,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,bad
580,none,42,none/duly paid,furniture,7174,1000 <= x,4 <= x < 7y,x < 20,female: non-single or male: single,none,4y <= x < 7y,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
581,none,24,critical,furniture,1546,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,guarantor,x >= 7y,building soc. savings agr./life insurance,24,bank,for free,1,unskilled - resident,0 to 2,no,no,bad
582,none,24,none/duly paid,car (used),2359,x < 100 DM,unemployed,x >= 35,male : divorced/separated,none, x < 1y,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
583,x >= 200,24,none/duly paid,furniture,3621,x < 100 DM,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,31,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,bad
584,none,12,none/duly paid,radio/television,741,x < 100 DM,unemployed,x < 20,female: non-single or male: single,none,4y <= x < 7y,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
585,none,12,none/duly paid,car (used),7865,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,53,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
586,none,24,none/duly paid,car (new),2910,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none, x < 1y,real estate,34,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
587,none,18,fully paid,other,5302,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,36,none,own,4 to 5,manager/self-empl./highly qualif,0 to 2,yes,no,good
588,none,36,none/duly paid,car (used),3620,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,guarantor,1y <= x < 4y,car or other,37,none,rent,1,skilled employee/official,3 or more,no,no,good
589,none,18,none/duly paid,furniture,3509,unknown/no savings account,4 <= x < 7y,x < 20,female: non-single or male: single,guarantor, x < 1y,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
590,negative,12,none/duly paid,car (used),3017,unknown/no savings account, x < 1y,20 <= x < 25,female: non-single or male: single,none, x < 1y,unknown / no property,34,none,for free,1,manager/self-empl./highly qualif,0 to 2,no,no,good
591,none,12,none/duly paid,car (used),1657,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
592,none,8,fully paid,business,1164,unknown/no savings account,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,real estate,51,bank,own,2 to 3,manager/self-empl./highly qualif,3 or more,yes,no,good
593,none,36,fully paid,car (used),6229,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,co-applicant,x >= 7y,real estate,23,none,for free,2 to 3,unskilled - resident,0 to 2,yes,no,bad
594,none,24,critical,other,1193,unknown/no savings account,unemployed,x >= 35,female: non-single or male: single,co-applicant,x >= 7y,real estate,29,none,for free,2 to 3,unemployed/unskilled - non-resident,0 to 2,no,no,bad
595,none,30,delayed,car (used),4583,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : divorced/separated,guarantor,1y <= x < 4y,unknown / no property,32,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
596,none,36,fully paid,car (used),5371,unknown/no savings account,1<= x < 4y,20 <= x < 25,male : married/widowed,guarantor,1y <= x < 4y,car or other,28,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
597,none,12,none/duly paid,car (used),708,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,guarantor,4y <= x < 7y,car or other,38,none,rent,1,unskilled - resident,3 or more,no,no,good
598,none,21,fully paid,other,571,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,65,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
599,none,30,none/duly paid,furniture,2522,unknown/no savings account,7y <= y,x >= 35,male : married/widowed,guarantor,4y <= x < 7y,car or other,39,none,rent,1,skilled employee/official,3 or more,no,no,good
600,none,36,none/duly paid,car (used),5179,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,29,none,rent,1,skilled employee/official,0 to 2,no,no,bad
601,none,36,none/duly paid,car (new),8229,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,car or other,26,none,rent,1,skilled employee/official,3 or more,no,no,bad
602,x >= 200,24,fully paid,car (used),2028,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,car or other,30,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
603,none,6,none/duly paid,other,1374,1000 <= x,unemployed,x < 20,female: non-single or male: single,none,4y <= x < 7y,car or other,75,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
604,none,12,none/duly paid,car (used),1289,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,guarantor, x < 1y,car or other,21,none,rent,1,unskilled - resident,0 to 2,no,no,good
605,none,36,none/duly paid,car (used),2712,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,car or other,41,bank,rent,1,skilled employee/official,3 or more,no,no,bad
606,none,15,fully paid,car (used),975,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : divorced/separated,none,4y <= x < 7y,car or other,25,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
607,negative,6,duly paid till now,car (used),1050,unknown/no savings account,unemployed,x < 20,male : married/widowed,none, x < 1y,car or other,35,stores,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,yes,good
608,none,6,fully paid,other,609,unknown/no savings account,4 <= x < 7y,x < 20,female: non-single or male: single,none,4y <= x < 7y,car or other,37,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
609,none,48,none/duly paid,car (new),4788,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,26,none,rent,1,skilled employee/official,3 or more,no,no,good
610,negative,24,none/duly paid,car (used),3069,x < 100 DM,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,30,none,own,1,skilled employee/official,0 to 2,no,no,good
611,negative,12,none/duly paid,other,836,x < 100 DM, x < 1y,x < 20,female: non-single or male: single,none,1y <= x < 4y,car or other,23,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
612,none,12,none/duly paid,car (used),2577,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : divorced/separated,none, x < 1y,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,no,no,good
613,none,12,none/duly paid,car (used),1620,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,co-applicant,4y <= x < 7y,car or other,30,none,rent,1,skilled employee/official,0 to 2,no,no,good
614,none,15,none/duly paid,car (used),1845,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,guarantor, x < 1y,car or other,46,none,for free,1,skilled employee/official,0 to 2,no,no,good
615,none,24,none/duly paid,car (new),6579,unknown/no savings account,unemployed,x < 20,male : married/widowed,none,1y <= x < 4y,real estate,29,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
616,none,12,none/duly paid,other,1893,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,guarantor,x >= 7y,car or other,29,none,rent,1,skilled employee/official,0 to 2,yes,no,good
617,none,30,fully paid,car (new),10623,unknown/no savings account,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,real estate,38,none,own,4 to 5,manager/self-empl./highly qualif,3 or more,yes,no,good
618,none,18,none/duly paid,other,2249,x < 100 DM,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif,3 or more,yes,no,good
619,none,30,none/duly paid,car (used),3108,unknown/no savings account, x < 1y,25 <= x < 35,male : divorced/separated,none,x >= 7y,car or other,31,none,rent,1,unskilled - resident,0 to 2,no,no,bad
620,negative,12,fully paid,other,958,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,47,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
621,x >= 200,24,none/duly paid,car (new),9277,1000 <= x,1<= x < 4y,25 <= x < 35,male : divorced/separated,none,x >= 7y,real estate,48,none,own,1,skilled employee/official,0 to 2,yes,no,good
622,x >= 200,24,fully paid,business,6314,unknown/no savings account,unemployed,x < 20,male : married/widowed,co-applicant,1y <= x < 4y,real estate,27,bank,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
623,none,12,fully paid,car (new),1526,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,66,none,own,2 to 3,manager/self-empl./highly qualif,0 to 2,no,no,good
624,none,12,none/duly paid,car (used),3590,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,co-applicant,1y <= x < 4y,car or other,29,none,rent,1,unskilled - resident,3 or more,no,no,good
625,none,24,fully paid,car (new),6615,unknown/no savings account,unemployed,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,75,none,own,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
626,none,6,fully paid,car (used),1872,unknown/no savings account,unemployed,x < 20,male : married/widowed,none,x >= 7y,real estate,36,none,own,4 to 5,manager/self-empl./highly qualif,0 to 2,yes,no,good
627,x >= 200,12,none/duly paid,other,2859,1000 <= x,unemployed,x < 20,male : married/widowed,none,x >= 7y,real estate,38,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
628,x >= 200,18,fully paid,furniture,1582,500 <= x < 1000,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,46,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
629,x >= 200,6,none/duly paid,vacation,1238,1000 <= x,unemployed,x < 20,male : married/widowed,none,x >= 7y,car or other,36,none,rent,1,manager/self-empl./highly qualif,3 or more,yes,no,good
630,none,12,none/duly paid,car (used),2578,unknown/no savings account,unemployed,20 <= x < 25,female: non-single or male: single,none,x >= 7y,real estate,55,none,own,1,manager/self-empl./highly qualif,0 to 2,no,no,good
631,none,15,fully paid,car (used),1433,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none,4y <= x < 7y,car or other,25,none,for free,2 to 3,skilled employee/official,0 to 2,no,no,good
632,none,42,none/duly paid,car (used),7882,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,guarantor,x >= 7y,car or other,45,none,own,1,skilled employee/official,3 or more,no,no,good
633,none,24,none/duly paid,car (used),4169,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,car or other,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
634,none,36,none/duly paid,car (used),3959,unknown/no savings account,unemployed,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
635,none,36,none/duly paid,other,3249,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,39,bank,own,1,manager/self-empl./highly qualif,3 or more,yes,no,good
636,none,24,none/duly paid,car (used),3149,unknown/no savings account, x < 1y,x < 20,male : married/widowed,none, x < 1y,real estate,22,bank,own,1,skilled employee/official,0 to 2,no,no,good
637,none,12,fully paid,car (used),2246,unknown/no savings account,7y <= y,20 <= x < 25,male : married/widowed,none,4y <= x < 7y,car or other,60,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,bad
638,none,13,fully paid,retraining,1797,unknown/no savings account, x < 1y,20 <= x < 25,male : married/widowed,none, x < 1y,car or other,28,bank,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
639,none,20,fully paid,car (used),4272,unknown/no savings account,7y <= y,x >= 35,female: non-single or male: single,none,x >= 7y,car or other,24,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
640,none,24,fully paid,car (new),2957,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,63,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
641,none,36,fully paid,car (used),2348,unknown/no savings account,1<= x < 4y,20 <= x < 25,female : single,none,1y <= x < 4y,car or other,46,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
642,0 <= x <= 200,42,delayed,retraining,6289,unknown/no savings account, x < 1y,25 <= x < 35,male : divorced/separated,none, x < 1y,car or other,33,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
643,none,24,fully paid,car (new),6419,unknown/no savings account,7y <= y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,real estate,44,none,own,2 to 3,manager/self-empl./highly qualif,3 or more,yes,no,good
644,none,48,fully paid,car (new),6143,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,none,x >= 7y,real estate,58,stores,own,2 to 3,unskilled - resident,0 to 2,no,no,bad
645,x >= 200,24,fully paid,repairs,1597,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,54,none,own,2 to 3,skilled employee/official,3 or more,no,no,good
646,none,36,none/duly paid,business,15857,unknown/no savings account,unemployed,25 <= x < 35,male : divorced/separated,co-applicant,4y <= x < 7y,building soc. savings agr./life insurance,43,none,rent,1,manager/self-empl./highly qualif,0 to 2,no,no,good
647,x >= 200,24,fully paid,furniture,2223,x < 100 DM,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,52,bank,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
648,x >= 200,48,duly paid till now,furniture,7238,1000 <= x,7y <= y,20 <= x < 25,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,32,bank,rent,2 to 3,skilled employee/official,3 or more,no,no,good
649,negative,30,duly paid till now,retraining,2503,x < 100 DM,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,41,stores,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
650,negative,18,none/duly paid,retraining,2622,x < 100 DM,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,good
651,negative,24,none/duly paid,car (used),4351,1000 <= x,1<= x < 4y,x >= 35,female: non-single or male: single,none,x >= 7y,car or other,48,none,rent,1,unskilled - resident,0 to 2,yes,no,good
652,negative,6,none/duly paid,furniture,368,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,38,none,rent,1,skilled employee/official,0 to 2,no,no,good
653,negative,12,none/duly paid,vacation,754,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,38,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
654,x >= 200,24,fully paid,furniture,2424,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,53,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
655,negative,48,duly paid till now,retraining,6681,1000 <= x,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,real estate,38,none,own,1,skilled employee/official,3 or more,yes,no,good
656,negative,18,duly paid till now,retraining,2427,1000 <= x,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,42,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
657,negative,24,fully paid,furniture,1216,x < 100 DM, x < 1y,x < 20,male : married/widowed,none,x >= 7y,real estate,38,bank,rent,2 to 3,skilled employee/official,3 or more,no,no,bad
658,negative,6,none/duly paid,furniture,753,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,guarantor,4y <= x < 7y,unknown / no property,64,none,rent,1,skilled employee/official,0 to 2,no,no,good
659,negative,7,none/duly paid,furniture,2576,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,guarantor,1y <= x < 4y,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,no,yes,good
