,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
512,200 < ...,15,existing AND duly paid,business,2687, ... < 100,4 <= ... < 7y,2,male : single,none,4,society savings agreement OR life insurance,26,none,rent,1,skilled employed OR official ,1,yes,yes,1
513, 0 <= ... <= 200,12,delayed,radio OR tv,585, ... < 100,1 <= ... < 4y,4,male : married,co-applicant,4,real estate,20,none,rent,2,skilled employed OR official ,1,no,yes,1
514,none,24,existing AND duly paid,car (new),2255,unknown OR no savings account, ... < 1y,4,male : single,none,1,society savings agreement OR life insurance,54,none,own,1,skilled employed OR official ,1,no,yes,1
515,negative,6,critical account,car (new),609, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,3,society savings agreement OR life insurance,37,none,own,2,skilled employed OR official ,1,no,no,1
516,negative,6,critical account,car (new),1361, ... < 100, ... < 1y,2,male : single,none,4,real estate,40,none,own,1,unskilled - resident,2,no,no,1
517,none,36,critical account,furniture,7127, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,23,none,rent,2,skilled employed OR official ,1,yes,yes,2
518,negative,6,existing AND duly paid,car (new),1203,100 <= ... < 500,7y <= ...,3,male : single,none,2,society savings agreement OR life insurance,43,none,own,1,skilled employed OR official ,1,yes,yes,1
519,none,6,critical account,radio OR tv,700,unknown OR no savings account,7y <= ...,4,male : single,none,4,none OR unknown,36,none,for free,2,skilled employed OR official ,1,no,yes,1
520,none,24,critical account,repairs,5507, ... < 100,7y <= ...,3,male : single,none,4,none OR unknown,44,none,for free,2,skilled employed OR official ,1,no,yes,1
521,negative,18,existing AND duly paid,radio OR tv,3190, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,real estate,24,none,own,1,skilled employed OR official ,1,no,yes,2
522,negative,48,none OR duly paid,furniture,7119, ... < 100,1 <= ... < 4y,3,male : single,none,4,none OR unknown,53,none,for free,2,skilled employed OR official ,2,no,yes,2
523,none,24,existing AND duly paid,car (used),3488,100 <= ... < 500,4 <= ... < 7y,3,female : married OR separated OR divorced,none,4,car OR other,23,none,own,1,skilled employed OR official ,1,no,yes,1
524, 0 <= ... <= 200,18,existing AND duly paid,radio OR tv,1113, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,no,yes,1
525, 0 <= ... <= 200,26,existing AND duly paid,car (used),7966, ... < 100, ... < 1y,2,male : single,none,3,car OR other,30,none,own,2,skilled employed OR official ,1,no,yes,1
526,none,15,critical account,education,1532,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,none,3,car OR other,31,none,own,1,skilled employed OR official ,1,no,yes,1
527,none,4,critical account,radio OR tv,1503, ... < 100,4 <= ... < 7y,2,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,no,yes,1
528,negative,36,existing AND duly paid,radio OR tv,2302, ... < 100,1 <= ... < 4y,4,male : separated OR divorced,none,4,car OR other,31,none,rent,1,skilled employed OR official ,1,no,yes,2
529,negative,6,existing AND duly paid,car (new),662, ... < 100, ... < 1y,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,1
530, 0 <= ... <= 200,36,existing AND duly paid,education,2273, ... < 100,4 <= ... < 7y,3,male : single,none,1,car OR other,32,none,own,2,skilled employed OR official ,2,no,yes,1
531, 0 <= ... <= 200,15,existing AND duly paid,car (new),2631,100 <= ... < 500,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,28,none,rent,2,skilled employed OR official ,1,yes,yes,2
532,none,12,delayed,car (used),1503, ... < 100,1 <= ... < 4y,4,male : married,none,4,real estate,41,none,rent,1,skilled employed OR official ,1,no,yes,1
533,none,24,existing AND duly paid,radio OR tv,1311,100 <= ... < 500,4 <= ... < 7y,4,male : married,none,3,society savings agreement OR life insurance,26,none,own,1,skilled employed OR official ,1,yes,yes,1
534,none,24,existing AND duly paid,radio OR tv,3105,unknown OR no savings account, ... < 1y,4,male : single,none,2,car OR other,25,none,own,2,skilled employed OR official ,1,no,yes,1
535,200 < ...,21,critical account,education,2319, ... < 100, ... < 1y,2,male : separated OR divorced,none,1,car OR other,33,none,rent,1,skilled employed OR official ,1,no,yes,2
536,negative,6,existing AND duly paid,car (new),1374,unknown OR no savings account,unemployed,4,female : married OR separated OR divorced,none,3,society savings agreement OR life insurance,75,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
537, 0 <= ... <= 200,18,critical account,furniture,3612, ... < 100,7y <= ...,3,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,37,none,own,1,skilled employed OR official ,1,yes,yes,1
538,negative,48,existing AND duly paid,car (new),7763, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,42,bank,for free,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,2
539,200 < ...,18,existing AND duly paid,furniture,3049, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,45,stores,own,1,unskilled - resident,1,no,yes,1
540, 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1534, ... < 100, ... < 1y,1,male : married,none,1,real estate,23,none,rent,1,skilled employed OR official ,1,no,yes,2
541,none,24,delayed,car (new),2032, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,60,none,for free,2,skilled employed OR official ,1,yes,yes,1
542,negative,30,existing AND duly paid,furniture,6350,unknown OR no savings account,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,31,none,own,1,skilled employed OR official ,1,no,yes,2
543,200 < ...,18,existing AND duly paid,furniture,2864, ... < 100,1 <= ... < 4y,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,no,yes,2
544,none,12,critical account,car (new),1255, ... < 100,7y <= ...,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,no,yes,1
545,negative,24,delayed,car (new),1333, ... < 100,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employed OR official ,2,no,yes,2
546,none,24,critical account,car (new),2022, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,car OR other,37,none,own,1,skilled employed OR official ,1,yes,yes,1
547,none,24,existing AND duly paid,radio OR tv,1552, ... < 100,4 <= ... < 7y,3,male : single,none,1,car OR other,32,bank,own,1,skilled employed OR official ,2,no,yes,1
548,negative,12,duly paid,radio OR tv,626, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,real estate,24,bank,own,1,unskilled - resident,1,no,yes,2
549,none,48,critical account,car (used),8858,unknown OR no savings account,4 <= ... < 7y,2,male : single,none,1,none OR unknown,35,none,for free,2,skilled employed OR official ,1,yes,yes,1
550,none,12,critical account,repairs,996,unknown OR no savings account,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,real estate,23,none,own,2,skilled employed OR official ,1,no,yes,1
551,none,6,duly paid,radio OR tv,1750,500 <= ... < 1000,7y <= ...,2,male : single,none,4,society savings agreement OR life insurance,45,bank,own,1,unskilled - resident,2,no,yes,1
552,negative,48,existing AND duly paid,radio OR tv,6999, ... < 100,4 <= ... < 7y,1,male : married,guarantor,1,real estate,34,none,own,2,skilled employed OR official ,1,yes,yes,2
553, 0 <= ... <= 200,12,critical account,car (new),1995,100 <= ... < 500, ... < 1y,4,male : single,none,1,car OR other,27,none,own,1,skilled employed OR official ,1,no,yes,1
554, 0 <= ... <= 200,9,existing AND duly paid,education,1199, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,67,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
555, 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1331, ... < 100, ... < 1y,2,male : single,none,1,car OR other,22,stores,own,1,skilled employed OR official ,1,no,yes,2
556, 0 <= ... <= 200,18,none OR duly paid,car (new),2278,100 <= ... < 500, ... < 1y,3,female : married OR separated OR divorced,none,3,car OR other,28,none,own,2,skilled employed OR official ,1,no,yes,2
557,none,21,none OR duly paid,car (new),5003,unknown OR no savings account,1 <= ... < 4y,1,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,29,bank,own,2,skilled employed OR official ,1,yes,yes,2
558,negative,24,duly paid,furniture,3552, ... < 100,4 <= ... < 7y,3,male : single,none,4,car OR other,27,bank,own,1,skilled employed OR official ,1,no,yes,2
559, 0 <= ... <= 200,18,critical account,furniture,1928, ... < 100, ... < 1y,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,no,yes,2
560,negative,24,existing AND duly paid,car (used),2964,unknown OR no savings account,7y <= ...,4,male : single,none,4,none OR unknown,49,bank,for free,1,skilled employed OR official ,2,yes,yes,1
561,negative,24,duly paid,radio OR tv,1546, ... < 100,4 <= ... < 7y,4,male : single,guarantor,4,car OR other,24,bank,rent,1,unskilled - resident,1,no,yes,2
562,200 < ...,6,delayed,radio OR tv,683, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,29,bank,own,1,skilled employed OR official ,1,no,yes,1
563, 0 <= ... <= 200,36,existing AND duly paid,car (new),12389,unknown OR no savings account,1 <= ... < 4y,1,male : single,none,4,none OR unknown,37,none,for free,1,skilled employed OR official ,1,yes,yes,2
564, 0 <= ... <= 200,24,delayed,business,4712,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,2,society savings agreement OR life insurance,37,bank,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
565, 0 <= ... <= 200,24,delayed,radio OR tv,1553,100 <= ... < 500,4 <= ... < 7y,3,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,23,none,rent,2,skilled employed OR official ,1,yes,yes,1
566,negative,12,existing AND duly paid,car (new),1372, ... < 100,4 <= ... < 7y,2,male : separated OR divorced,none,3,car OR other,36,none,own,1,skilled employed OR official ,1,no,yes,2
567,none,24,critical account,radio OR tv,2578,1000 <= ...,7y <= ...,2,male : single,none,2,car OR other,34,none,own,1,skilled employed OR official ,1,no,yes,1
568, 0 <= ... <= 200,48,existing AND duly paid,radio OR tv,3979,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,1,car OR other,41,none,own,2,skilled employed OR official ,2,yes,yes,1
569,negative,48,existing AND duly paid,radio OR tv,6758, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,car OR other,31,none,own,1,skilled employed OR official ,1,yes,yes,2
570,negative,24,existing AND duly paid,furniture,3234, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,2
571,none,30,critical account,radio OR tv,5954, ... < 100,4 <= ... < 7y,3,male : single,co-applicant,2,car OR other,38,none,own,1,skilled employed OR official ,1,no,yes,1
572,none,24,existing AND duly paid,car (used),5433,unknown OR no savings account,unemployed,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,26,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
573,negative,15,existing AND duly paid,business,806, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,22,none,own,1,unskilled - resident,1,no,yes,1
574, 0 <= ... <= 200,9,existing AND duly paid,radio OR tv,1082, ... < 100,7y <= ...,4,male : single,none,4,car OR other,27,none,own,2,unskilled - resident,1,no,yes,1
575,none,15,critical account,furniture,2788, ... < 100,4 <= ... < 7y,2,female : married OR separated OR divorced,co-applicant,3,car OR other,24,bank,own,2,skilled employed OR official ,1,no,yes,1
576, 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,2930, ... < 100,4 <= ... < 7y,2,female : married OR separated OR divorced,none,1,real estate,27,none,own,1,skilled employed OR official ,1,no,yes,1
577,none,24,critical account,education,1927,unknown OR no savings account,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,car OR other,33,none,own,2,skilled employed OR official ,1,yes,yes,1
578, 0 <= ... <= 200,36,critical account,car (new),2820, ... < 100, ... < 1y,4,male : separated OR divorced,none,4,car OR other,27,none,own,2,skilled employed OR official ,1,no,yes,2
579,none,24,existing AND duly paid,retraining,937, ... < 100, ... < 1y,4,male : married,none,3,car OR other,27,none,own,2,unskilled - resident,1,no,yes,1
580, 0 <= ... <= 200,18,critical account,car (new),1056, ... < 100,7y <= ...,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employed OR official ,1,no,yes,2
581, 0 <= ... <= 200,12,critical account,car (new),3124, ... < 100, ... < 1y,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,no,yes,1
582,none,9,existing AND duly paid,furniture,1388, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,real estate,26,none,rent,1,skilled employed OR official ,1,no,yes,1
583, 0 <= ... <= 200,36,existing AND duly paid,repairs,2384, ... < 100, ... < 1y,4,male : single,none,1,none OR unknown,33,none,rent,1,unskilled - resident,1,no,yes,2
584,none,12,existing AND duly paid,car (new),2133,unknown OR no savings account,7y <= ...,4,female : married OR separated OR divorced,none,4,none OR unknown,52,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
585,negative,18,existing AND duly paid,furniture,2039, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,4,real estate,20,bank,rent,1,skilled employed OR official ,1,no,yes,2
586,negative,9,critical account,car (new),2799, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,36,none,rent,2,skilled employed OR official ,2,no,yes,1
587,negative,12,existing AND duly paid,furniture,1289, ... < 100,1 <= ... < 4y,4,male : single,guarantor,1,society savings agreement OR life insurance,21,none,own,1,unskilled - resident,1,no,yes,1
588,negative,18,existing AND duly paid,domestic appliances,1217, ... < 100,1 <= ... < 4y,4,male : married,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,2
589,negative,12,critical account,furniture,2246, ... < 100,7y <= ...,3,male : single,none,3,society savings agreement OR life insurance,60,none,own,2,skilled employed OR official ,1,no,yes,2
590,negative,12,critical account,radio OR tv,385, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,1
591, 0 <= ... <= 200,24,delayed,car (new),1965,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,car OR other,42,none,rent,2,skilled employed OR official ,1,yes,yes,1
592,none,21,existing AND duly paid,business,1572,1000 <= ...,7y <= ...,4,female : married OR separated OR divorced,none,4,real estate,36,bank,own,1,unskilled - resident,1,no,yes,1
593, 0 <= ... <= 200,24,existing AND duly paid,car (new),2718, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,2
594,negative,24,duly paid,other,1358,unknown OR no savings account,7y <= ...,4,male : single,none,3,car OR other,40,stores,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
595, 0 <= ... <= 200,6,duly paid,car (new),931,100 <= ... < 500, ... < 1y,1,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,32,stores,own,1,unskilled - resident,1,no,yes,2
596,negative,24,existing AND duly paid,car (new),1442, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,car OR other,23,none,rent,2,skilled employed OR official ,1,no,yes,2
597, 0 <= ... <= 200,24,none OR duly paid,business,4241, ... < 100,1 <= ... < 4y,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,2
598,none,18,critical account,car (new),2775, ... < 100,4 <= ... < 7y,2,male : single,none,2,society savings agreement OR life insurance,31,bank,own,2,skilled employed OR official ,1,no,yes,2
599,none,24,delayed,business,3863, ... < 100,1 <= ... < 4y,1,male : single,none,2,none OR unknown,32,none,for free,1,skilled employed OR official ,1,no,yes,1
600, 0 <= ... <= 200,7,existing AND duly paid,radio OR tv,2329, ... < 100, ... < 1y,1,female : married OR separated OR divorced,guarantor,1,real estate,45,none,own,1,skilled employed OR official ,1,no,yes,1
601, 0 <= ... <= 200,9,existing AND duly paid,furniture,918, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,30,none,own,1,skilled employed OR official ,1,no,yes,2
602, 0 <= ... <= 200,24,duly paid,education,1837, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,none OR unknown,34,bank,for free,1,unskilled - resident,1,no,yes,2
603,none,36,existing AND duly paid,furniture,3349, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,car OR other,28,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
604,200 < ...,10,existing AND duly paid,furniture,1275, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,23,none,own,1,skilled employed OR official ,1,no,yes,1
605,negative,24,duly paid,furniture,2828,500 <= ... < 1000,1 <= ... < 4y,4,male : single,none,4,real estate,22,stores,own,1,skilled employed OR official ,1,yes,yes,1
606,none,24,critical account,business,4526, ... < 100,1 <= ... < 4y,3,male : single,none,2,real estate,74,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
607, 0 <= ... <= 200,36,existing AND duly paid,radio OR tv,2671,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,co-applicant,4,none OR unknown,50,none,for free,1,skilled employed OR official ,1,no,yes,2
608,none,18,existing AND duly paid,radio OR tv,2051, ... < 100, ... < 1y,4,male : single,none,1,real estate,33,none,own,1,skilled employed OR official ,1,no,yes,1
609,none,15,existing AND duly paid,car (used),1300,unknown OR no savings account,7y <= ...,4,male : single,none,4,none OR unknown,45,bank,for free,1,skilled employed OR official ,2,no,yes,1
610,negative,12,existing AND duly paid,domestic appliances,741,100 <= ... < 500,unemployed,4,female : married OR separated OR divorced,none,3,society savings agreement OR life insurance,22,none,own,1,skilled employed OR official ,1,no,yes,2
611,200 < ...,10,existing AND duly paid,car (new),1240,100 <= ... < 500,7y <= ...,1,female : married OR separated OR divorced,none,4,none OR unknown,48,none,for free,1,unskilled - resident,2,no,yes,2
612,negative,21,existing AND duly paid,radio OR tv,3357,1000 <= ..., ... < 1y,4,female : married OR separated OR divorced,none,2,car OR other,29,bank,own,1,skilled employed OR official ,1,no,yes,1
613,negative,24,duly paid,car (used),3632, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,guarantor,4,car OR other,22,bank,rent,1,skilled employed OR official ,1,no,no,1
614,none,18,delayed,furniture,1808, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,1,real estate,22,none,own,1,skilled employed OR official ,1,no,yes,2
615, 0 <= ... <= 200,48,none OR duly paid,business,12204,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,2,car OR other,48,bank,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
616, 0 <= ... <= 200,60,delayed,radio OR tv,9157,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,2,none OR unknown,27,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
617,negative,6,critical account,car (new),3676, ... < 100,1 <= ... < 4y,1,male : single,none,3,real estate,37,none,rent,3,skilled employed OR official ,2,no,yes,1
618, 0 <= ... <= 200,30,existing AND duly paid,furniture,3441,100 <= ... < 500,1 <= ... < 4y,2,female : married OR separated OR divorced,co-applicant,4,car OR other,21,none,rent,1,skilled employed OR official ,1,no,yes,2
619,none,12,existing AND duly paid,car (new),640, ... < 100,1 <= ... < 4y,4,male : separated OR divorced,none,2,real estate,49,none,own,1,unskilled - resident,1,no,yes,1
620, 0 <= ... <= 200,21,critical account,business,3652, ... < 100,4 <= ... < 7y,2,male : single,none,3,society savings agreement OR life insurance,27,none,own,2,skilled employed OR official ,1,no,yes,1
621,none,18,critical account,car (new),1530, ... < 100,1 <= ... < 4y,3,male : single,none,2,society savings agreement OR life insurance,32,bank,own,2,skilled employed OR official ,1,no,yes,2
622,none,48,existing AND duly paid,business,3914,unknown OR no savings account,1 <= ... < 4y,4,male : separated OR divorced,none,2,real estate,38,bank,own,1,skilled employed OR official ,1,no,yes,2
623,negative,12,existing AND duly paid,furniture,1858, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,car OR other,22,none,rent,1,skilled employed OR official ,1,no,yes,1
624,negative,18,existing AND duly paid,radio OR tv,2600, ... < 100,1 <= ... < 4y,4,male : single,none,4,none OR unknown,65,none,for free,2,skilled employed OR official ,1,no,yes,2
625,none,15,existing AND duly paid,radio OR tv,1979,unknown OR no savings account,7y <= ...,4,male : single,none,2,car OR other,35,none,own,1,skilled employed OR official ,1,no,yes,1
626,200 < ...,6,existing AND duly paid,furniture,2116, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,41,none,own,1,skilled employed OR official ,1,yes,yes,1
627, 0 <= ... <= 200,9,duly paid,car (new),1437,100 <= ... < 500,4 <= ... < 7y,2,male : single,none,3,none OR unknown,29,none,own,1,skilled employed OR official ,1,no,yes,2
628,none,42,critical account,furniture,4042,500 <= ... < 1000,1 <= ... < 4y,4,male : single,none,4,real estate,36,none,own,2,skilled employed OR official ,1,yes,yes,1
629,none,9,existing AND duly paid,education,3832,unknown OR no savings account,7y <= ...,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1,no,yes,1
630,negative,24,existing AND duly paid,radio OR tv,3660, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,28,none,own,1,skilled employed OR official ,1,no,yes,1
631,negative,18,duly paid,furniture,1553, ... < 100,1 <= ... < 4y,4,male : single,none,3,car OR other,44,bank,own,1,skilled employed OR official ,1,no,yes,2
632, 0 <= ... <= 200,15,existing AND duly paid,radio OR tv,1444,unknown OR no savings account, ... < 1y,4,male : single,none,1,society savings agreement OR life insurance,23,none,own,1,skilled employed OR official ,1,no,yes,1
633,none,9,existing AND duly paid,furniture,1980, ... < 100, ... < 1y,2,female : married OR separated OR divorced,co-applicant,2,car OR other,19,none,rent,2,skilled employed OR official ,1,no,yes,2
634, 0 <= ... <= 200,24,existing AND duly paid,car (new),1355, ... < 100, ... < 1y,3,female : married OR separated OR divorced,none,4,car OR other,25,none,own,1,unskilled - resident,1,yes,yes,2
635,none,12,existing AND duly paid,education,1393, ... < 100,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,47,bank,own,3,skilled employed OR official ,2,yes,yes,1
636,none,24,existing AND duly paid,radio OR tv,1376,500 <= ... < 1000,4 <= ... < 7y,4,female : married OR separated OR divorced,none,1,car OR other,28,none,own,1,skilled employed OR official ,1,no,yes,1
637,none,60,delayed,radio OR tv,15653, ... < 100,4 <= ... < 7y,2,male : single,none,4,car OR other,21,none,own,2,skilled employed OR official ,1,yes,yes,1
638,none,12,existing AND duly paid,radio OR tv,1493, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,3,car OR other,34,none,own,1,skilled employed OR official ,2,no,yes,1
639,negative,42,delayed,radio OR tv,4370, ... < 100,4 <= ... < 7y,3,male : single,none,2,society savings agreement OR life insurance,26,bank,own,2,skilled employed OR official ,2,yes,yes,2
640,negative,18,existing AND duly paid,education,750, ... < 100,unemployed,4,female : married OR separated OR divorced,none,1,real estate,27,none,own,1,unemployed OR unskilled - non-resident,1,no,yes,2
641, 0 <= ... <= 200,15,existing AND duly paid,repairs,1308, ... < 100,7y <= ...,4,male : single,none,4,car OR other,38,none,own,2,unskilled - resident,1,no,yes,1
642,none,15,existing AND duly paid,education,4623,100 <= ... < 500,1 <= ... < 4y,3,male : single,none,2,society savings agreement OR life insurance,40,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
643,none,24,critical account,radio OR tv,1851, ... < 100,4 <= ... < 7y,4,male : married,guarantor,2,car OR other,33,none,own,2,skilled employed OR official ,1,yes,yes,1
644,negative,18,critical account,radio OR tv,1880, ... < 100,4 <= ... < 7y,4,male : married,none,1,society savings agreement OR life insurance,32,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
645,none,36,delayed,business,7980,unknown OR no savings account, ... < 1y,4,male : single,none,4,car OR other,27,none,rent,2,skilled employed OR official ,1,yes,yes,2
646,negative,30,none OR duly paid,furniture,4583, ... < 100,1 <= ... < 4y,2,male : separated OR divorced,guarantor,2,real estate,32,none,own,2,skilled employed OR official ,1,no,yes,1
647,none,12,existing AND duly paid,car (new),1386,500 <= ... < 1000,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,26,none,own,1,skilled employed OR official ,1,no,yes,2
648,200 < ...,24,existing AND duly paid,car (new),947, ... < 100,4 <= ... < 7y,4,male : single,none,3,none OR unknown,38,bank,for free,1,skilled employed OR official ,2,no,yes,2
649,negative,12,existing AND duly paid,education,684, ... < 100,1 <= ... < 4y,4,male : single,none,4,car OR other,40,none,rent,1,unskilled - resident,2,no,yes,2
650,negative,48,existing AND duly paid,education,7476, ... < 100,4 <= ... < 7y,4,male : single,none,1,none OR unknown,50,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
651, 0 <= ... <= 200,12,existing AND duly paid,furniture,1922, ... < 100,1 <= ... < 4y,4,male : single,none,2,society savings agreement OR life insurance,37,none,own,1,unskilled - resident,1,no,yes,2
652,negative,24,existing AND duly paid,car (new),2303, ... < 100,7y <= ...,4,male : single,co-applicant,1,real estate,45,none,own,1,skilled employed OR official ,1,no,yes,2
653, 0 <= ... <= 200,36,delayed,car (new),8086,100 <= ... < 500,7y <= ...,2,male : single,none,4,car OR other,42,none,own,4,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
654,none,24,critical account,car (used),2346, ... < 100,4 <= ... < 7y,4,male : single,none,3,car OR other,35,none,own,2,skilled employed OR official ,1,yes,yes,1
655,negative,14,existing AND duly paid,car (new),3973, ... < 100,unemployed,1,male : single,none,4,none OR unknown,22,none,for free,1,skilled employed OR official ,1,no,yes,1
656, 0 <= ... <= 200,12,existing AND duly paid,car (new),888, ... < 100,7y <= ...,4,male : single,none,4,car OR other,41,bank,own,1,unskilled - resident,2,no,yes,2
657,none,48,existing AND duly paid,radio OR tv,10222,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,3,car OR other,37,stores,own,1,skilled employed OR official ,1,yes,yes,1
658, 0 <= ... <= 200,30,none OR duly paid,business,4221, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,1,car OR other,28,none,own,2,skilled employed OR official ,1,no,yes,1
659, 0 <= ... <= 200,18,critical account,furniture,6361, ... < 100,7y <= ...,2,male : single,none,1,none OR unknown,41,none,own,1,skilled employed OR official ,1,yes,yes,1
660,200 < ...,12,existing AND duly paid,radio OR tv,1297, ... < 100,1 <= ... < 4y,3,male : married,none,4,real estate,23,none,rent,1,skilled employed OR official ,1,no,yes,1
661,negative,12,existing AND duly paid,car (new),900,unknown OR no savings account,1 <= ... < 4y,4,male : married,none,2,car OR other,23,none,own,1,skilled employed OR official ,1,no,yes,2
662,none,21,existing AND duly paid,furniture,2241, ... < 100,7y <= ...,4,male : single,none,2,real estate,50,none,own,2,skilled employed OR official ,1,no,yes,1
663, 0 <= ... <= 200,6,delayed,furniture,1050, ... < 100,unemployed,4,male : single,none,1,society savings agreement OR life insurance,35,stores,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
664,200 < ...,6,critical account,education,1047, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,50,none,own,1,unskilled - resident,1,no,yes,1
665,none,24,critical account,other,6314, ... < 100,unemployed,4,male : single,co-applicant,2,none OR unknown,27,bank,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
