,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
499,>=200 DM,12,fully paid back,others,926,unknown/no savings account,unemployed,>= 35,female: non-single or male: single,none,1-3 yrs,car or other,38,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
500,No Account,12,none open,furniture/equipment,1680,100-500 DM,>= 7 yrs,20-24,female : single,none,< 1 yr,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,no,no,good
501,>=200 DM,24,none open,others,1249,unknown/no savings account,<1 yr,<20,female : single,none,1-3 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
502,>=200 DM,24,fully paid back,others,2463,<100 DM,4-6 yrs,<20,female : single,none,4-6 yrs,car or other,27,none,rent,2,skilled employee/official,0 to 2,yes,no,good
503,>=200 DM,6,none open,furniture/equipment,1595,unknown/no savings account,4-6 yrs,20-24,male : married/widowed,none,1-3 yrs,car or other,51,none,rent,1,skilled employee/official,3 or more,no,no,good
504,>=200 DM,24,fully paid back,domestic appliances,2058,unknown/no savings account,1-3 yrs,<20,male : divorced/separated,none,1-3 yrs,unknown / no property,33,none,rent,2,skilled employee/official,0 to 2,yes,no,good
505,>=200 DM,24,none open,car (new),7814,unknown/no savings account,4-6 yrs,20-24,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,38,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
506,>=200 DM,6,fully paid back,furniture/equipment,1740,unknown/no savings account,>= 7 yrs,25-34,female : single,none,1-3 yrs,unknown / no property,30,none,for free,2,skilled employee/official,0 to 2,no,no,good
507,>=200 DM,12,fully paid back,furniture/equipment,1240,>=1000 DM,>= 7 yrs,<20,female: non-single or male: single,none,1-3 yrs,unknown / no property,38,none,rent,2,skilled employee/official,0 to 2,yes,no,good
508,>=200 DM,24,fully paid back,car (new),6842,>=1000 DM,1-3 yrs,25-34,male : married/widowed,none,>= 7 yrs,car or other,46,none,rent,2,manager/self-empl./highly qualif,3 or more,yes,no,good
509,>=200 DM,24,fully paid back,car (used),5150,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,yes,no,good
510,No Account,6,none open,others,1203,<100 DM,>= 7 yrs,20-24,male : married/widowed,none,1-3 yrs,car or other,43,none,rent,1,skilled employee/official,0 to 2,yes,no,good
511,>=200 DM,6,fully paid back,others,2080,100-500 DM,1-3 yrs,>= 35,female : single,none,1-3 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
512,>=200 DM,6,none open,repairs,1538,unknown/no savings account,<1 yr,>= 35,female: non-single or male: single,none,1-3 yrs,real estate,56,none,rent,1,skilled employee/official,0 to 2,no,no,good
513,<0 DM,24,fully paid back,others,3878,<100 DM,<1 yr,<20,male : divorced/separated,none,1-3 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes,no,good
514,<0 DM,30,none open,car (used),3832,unknown/no savings account,<1 yr,25-34,female : single,none,< 1 yr,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,good
515,>=200 DM,15,none open,others,3186,500-1000 DM,4-6 yrs,25-34,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
516,<0 DM,24,none open,furniture/equipment,2896,<100 DM,<1 yr,25-34,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,29,none,rent,1,skilled employee/official,0 to 2,no,no,good
517,<0 DM,24,paid open rates,retraining,6967,<100 DM,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
518,>=200 DM,36,none open,repairs,1819,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,37,stores,own,1,skilled employee/official,0 to 2,yes,no,bad
519,>=200 DM,24,none open,furniture/equipment,5943,>=1000 DM,<1 yr,>= 35,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,44,none,rent,2,skilled employee/official,0 to 2,yes,no,bad
520,>=200 DM,36,fully paid back,car (used),7127,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,>= 7 yrs,car or other,23,none,for free,2,skilled employee/official,0 to 2,yes,no,bad
521,>=200 DM,36,none open,car (used),3349,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,28,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
522,>=200 DM,36,none open,car (used),10974,unknown/no savings account,unemployed,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,26,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
523,>=200 DM,6,none open,furniture/equipment,518,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,< 1 yr,unknown / no property,29,none,rent,1,skilled employee/official,0 to 2,no,no,good
524,>=200 DM,18,none open,furniture/equipment,1126,>=1000 DM,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,unknown / no property,21,none,for free,1,skilled employee/official,0 to 2,yes,no,good
525,<0 DM,12,fully paid back,car (new),1860,unknown/no savings account,unemployed,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,34,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
526,>=200 DM,36,fully paid back,furniture/equipment,9566,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,31,stores,rent,2,skilled employee/official,0 to 2,no,no,good
527,No Account,12,none open,furniture/equipment,701,unknown/no savings account,1-3 yrs,<20,female : single,none,1-3 yrs,unknown / no property,40,none,rent,1,unskilled - resident,0 to 2,no,no,good
528,<0 DM,12,none open,furniture/equipment,2930,unknown/no savings account,4-6 yrs,25-34,female: non-single or male: single,none,< 1 yr,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
529,>=200 DM,18,none open,furniture/equipment,1505,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,real estate,32,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
530,>=200 DM,18,fully paid back,furniture/equipment,2238,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,25,none,rent,2,skilled employee/official,0 to 2,no,no,good
531,>=200 DM,4,fully paid back,furniture/equipment,1503,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,unknown / no property,42,none,rent,2,unskilled - resident,3 or more,no,no,good
532,>=200 DM,24,fully paid back,car (new),2197,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,43,none,rent,2,skilled employee/official,3 or more,yes,no,good
533,0-200 DM,12,none open,furniture/equipment,1881,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,44,none,for free,1,unskilled - resident,0 to 2,yes,no,good
534,No Account,18,fully paid back,furniture/equipment,1880,unknown/no savings account,4-6 yrs,<20,female : single,none,< 1 yr,car or other,32,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
535,No Account,18,none open,furniture/equipment,2389,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,27,stores,rent,1,skilled employee/official,0 to 2,no,no,good
536,<0 DM,24,none open,furniture/equipment,1967,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,yes,no,good
537,>=200 DM,4,fully paid back,others,3380,unknown/no savings account,4-6 yrs,>= 35,female: non-single or male: single,none,< 1 yr,unknown / no property,37,none,rent,1,skilled employee/official,3 or more,no,no,good
538,>=200 DM,4,fully paid back,others,1455,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,unknown / no property,42,none,rent,3,unskilled - resident,3 or more,no,no,good
539,>=200 DM,7,fully paid back,furniture/equipment,730,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,46,none,for free,2,unskilled - resident,0 to 2,yes,no,good
540,<0 DM,18,past delay,car (used),3244,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,33,bank,rent,2,skilled employee/official,0 to 2,yes,no,good
541,<0 DM,9,none open,furniture/equipment,1670,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
542,<0 DM,48,none open,furniture/equipment,3979,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,41,none,rent,2,skilled employee/official,3 or more,yes,no,good
543,<0 DM,12,none open,car (used),1922,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,37,none,rent,1,unskilled - resident,0 to 2,no,no,bad
544,<0 DM,18,fully paid back,car (used),1295,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,car or other,27,none,rent,2,skilled employee/official,0 to 2,no,no,good
545,>=200 DM,4,fully paid back,furniture/equipment,1544,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,unknown / no property,42,none,rent,3,unskilled - resident,3 or more,no,no,good
546,<0 DM,8,none open,retraining,907,unknown/no savings account,<1 yr,20-24,female : single,none,1-3 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,yes,no,good
547,<0 DM,30,none open,furniture/equipment,1715,>=1000 DM,1-3 yrs,<20,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
548,0-200 DM,10,fully paid back,furniture/equipment,1347,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,27,none,rent,2,skilled employee/official,0 to 2,yes,no,good
549,<0 DM,12,none open,others,1007,500-1000 DM,1-3 yrs,<20,female : single,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,good
550,>=200 DM,12,fully paid back,car (used),1402,100-500 DM,4-6 yrs,20-24,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,for free,1,skilled employee/official,0 to 2,yes,no,good
551,<0 DM,12,none open,others,2002,unknown/no savings account,4-6 yrs,20-24,male : married/widowed,none,>= 7 yrs,car or other,30,none,for free,1,skilled employee/official,3 or more,yes,no,good
552,>=200 DM,12,fully paid back,repairs,2096,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,4-6 yrs,unknown / no property,49,none,rent,1,unskilled - resident,3 or more,no,no,good
553,>=200 DM,12,none open,others,1101,unknown/no savings account,1-3 yrs,20-24,female : single,none,1-3 yrs,unknown / no property,27,none,rent,2,skilled employee/official,0 to 2,yes,no,good
554,>=200 DM,10,none open,vacation,894,>=1000 DM,4-6 yrs,<20,female: non-single or male: single,none,4-6 yrs,car or other,40,none,rent,1,skilled employee/official,0 to 2,yes,no,good
555,<0 DM,11,none open,car (used),1577,500-1000 DM,<1 yr,<20,female: non-single or male: single,none,< 1 yr,unknown / no property,20,none,rent,1,skilled employee/official,0 to 2,no,no,good
556,>=200 DM,33,paid open rates,retraining,2764,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,26,none,rent,2,skilled employee/official,0 to 2,yes,no,good
557,<0 DM,48,past delay,others,8358,100-500 DM,<1 yr,>= 35,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,30,none,rent,2,skilled employee/official,0 to 2,no,no,good
558,0-200 DM,12,none open,car (used),1474,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,car or other,33,bank,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
559,>=200 DM,24,none open,car (new),5433,>=1000 DM,unemployed,25-34,female: non-single or male: single,none,>= 7 yrs,car or other,26,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
560,<0 DM,14,none open,retraining,1410,100-500 DM,>= 7 yrs,>= 35,female : single,none,1-3 yrs,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,yes,no,good
561,>=200 DM,20,fully paid back,others,3485,>=1000 DM,<1 yr,25-34,male : divorced/separated,none,>= 7 yrs,unknown / no property,44,none,rent,2,skilled employee/official,0 to 2,yes,no,good
562,>=200 DM,18,fully paid back,car (new),3850,unknown/no savings account,4-6 yrs,20-24,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,27,none,rent,2,skilled employee/official,0 to 2,no,no,good
563,<0 DM,60,none open,others,7408,<100 DM,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,car or other,24,none,rent,1,manager/self-empl./highly qualif,0 to 2,no,no,bad
564,0-200 DM,24,none open,furniture/equipment,1377,<100 DM,>= 7 yrs,<20,female: non-single or male: single,none,1-3 yrs,real estate,47,none,own,1,skilled employee/official,0 to 2,yes,no,good
565,>=200 DM,30,paid open rates,retraining,4272,<100 DM,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,26,none,rent,2,unskilled - resident,0 to 2,no,no,good
566,<0 DM,24,paid open rates,furniture/equipment,1553,<100 DM,4-6 yrs,20-24,female: non-single or male: single,none,1-3 yrs,car or other,23,none,for free,2,skilled employee/official,0 to 2,yes,no,good
567,<0 DM,36,paid open rates,retraining,9857,<100 DM,4-6 yrs,>= 35,male : married/widowed,none,4-6 yrs,car or other,31,none,rent,2,unskilled - resident,3 or more,yes,no,good
568,>=200 DM,6,fully paid back,others,362,<100 DM,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,2,unskilled - resident,0 to 2,no,no,good
569,>=200 DM,12,fully paid back,car (used),1935,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,43,none,rent,3,skilled employee/official,0 to 2,yes,no,good
570,>=200 DM,48,none open,furniture/equipment,10222,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,37,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
571,0-200 DM,12,none open,others,1330,unknown/no savings account,<1 yr,<20,male : married/widowed,none,< 1 yr,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
572,>=200 DM,36,none open,repairs,9055,>=1000 DM,1-3 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,35,none,own,1,unskilled - resident,3 or more,yes,no,good
573,<0 DM,26,none open,car (new),7966,unknown/no savings account,<1 yr,25-34,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,30,none,rent,2,skilled employee/official,0 to 2,no,no,good
574,<0 DM,30,critical/open,car (used),3496,500-1000 DM,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,34,stores,rent,1,skilled employee/official,3 or more,yes,no,good
575,<0 DM,36,none open,car (new),6948,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,35,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
576,<0 DM,48,past delay,retraining,12204,>=1000 DM,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
577,No Account,36,none open,car (used),3446,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,3 or more,no,no,bad
578,No Account,12,none open,repairs,684,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,for free,1,unskilled - resident,3 or more,no,no,bad
579,No Account,33,fully paid back,car (used),4281,100-500 DM,1-3 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,rent,2,skilled employee/official,0 to 2,no,no,bad
580,No Account,42,none open,furniture/equipment,7174,>=1000 DM,4-6 yrs,<20,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
581,No Account,24,critical/open,furniture/equipment,1546,unknown/no savings account,4-6 yrs,<20,male : married/widowed,guarantor,>= 7 yrs,building soc. savings agr./life insurance,24,bank,for free,1,unskilled - resident,0 to 2,no,no,bad
582,No Account,24,none open,car (used),2359,<100 DM,unemployed,>= 35,male : divorced/separated,none,< 1 yr,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
583,>=200 DM,24,none open,furniture/equipment,3621,<100 DM,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,rent,2,skilled employee/official,0 to 2,no,no,bad
584,No Account,12,none open,radio/television,741,<100 DM,unemployed,<20,female: non-single or male: single,none,4-6 yrs,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
585,No Account,12,none open,car (used),7865,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,53,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,bad
586,No Account,24,none open,car (new),2910,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,real estate,34,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
587,No Account,18,fully paid back,others,5302,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,36,none,own,3,manager/self-empl./highly qualif,0 to 2,yes,no,good
588,No Account,36,none open,car (used),3620,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,guarantor,1-3 yrs,car or other,37,none,rent,1,skilled employee/official,3 or more,no,no,good
589,No Account,18,none open,furniture/equipment,3509,unknown/no savings account,4-6 yrs,<20,female: non-single or male: single,guarantor,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
590,<0 DM,12,none open,car (used),3017,unknown/no savings account,<1 yr,20-24,female: non-single or male: single,none,< 1 yr,unknown / no property,34,none,for free,1,manager/self-empl./highly qualif,0 to 2,no,no,good
591,No Account,12,none open,car (used),1657,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
592,No Account,8,fully paid back,business,1164,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,real estate,51,bank,own,2,manager/self-empl./highly qualif,3 or more,yes,no,good
593,No Account,36,fully paid back,car (used),6229,unknown/no savings account,<1 yr,<20,female: non-single or male: single,co-applicant,>= 7 yrs,real estate,23,none,for free,2,unskilled - resident,0 to 2,yes,no,bad
594,No Account,24,critical/open,others,1193,unknown/no savings account,unemployed,>= 35,female: non-single or male: single,co-applicant,>= 7 yrs,real estate,29,none,for free,2,unemployed/unskilled - non-resident,0 to 2,no,no,bad
595,No Account,30,past delay,car (used),4583,unknown/no savings account,1-3 yrs,25-34,male : divorced/separated,guarantor,1-3 yrs,unknown / no property,32,none,rent,2,skilled employee/official,0 to 2,no,no,good
596,No Account,36,fully paid back,car (used),5371,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,guarantor,1-3 yrs,car or other,28,none,rent,2,skilled employee/official,0 to 2,no,no,good
597,No Account,12,none open,car (used),708,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,guarantor,4-6 yrs,car or other,38,none,rent,1,unskilled - resident,3 or more,no,no,good
598,No Account,21,fully paid back,others,571,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,65,none,rent,2,skilled employee/official,0 to 2,no,no,good
599,No Account,30,none open,furniture/equipment,2522,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,guarantor,4-6 yrs,car or other,39,none,rent,1,skilled employee/official,3 or more,no,no,good
600,No Account,36,none open,car (used),5179,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,no,no,bad
601,No Account,36,none open,car (new),8229,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,26,none,rent,1,skilled employee/official,3 or more,no,no,bad
602,>=200 DM,24,fully paid back,car (used),2028,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,30,none,rent,2,unskilled - resident,0 to 2,no,no,good
603,No Account,6,none open,others,1374,>=1000 DM,unemployed,<20,female: non-single or male: single,none,4-6 yrs,car or other,75,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
604,No Account,12,none open,car (used),1289,unknown/no savings account,1-3 yrs,<20,male : married/widowed,guarantor,< 1 yr,car or other,21,none,rent,1,unskilled - resident,0 to 2,no,no,good
605,No Account,36,none open,car (used),2712,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,41,bank,rent,1,skilled employee/official,3 or more,no,no,bad
606,No Account,15,fully paid back,car (used),975,unknown/no savings account,1-3 yrs,25-34,male : divorced/separated,none,4-6 yrs,car or other,25,none,rent,2,skilled employee/official,0 to 2,no,no,good
607,<0 DM,6,paid open rates,car (used),1050,unknown/no savings account,unemployed,<20,male : married/widowed,none,< 1 yr,car or other,35,stores,rent,2,manager/self-empl./highly qualif,0 to 2,yes,yes,good
608,No Account,6,fully paid back,others,609,unknown/no savings account,4-6 yrs,<20,female: non-single or male: single,none,4-6 yrs,car or other,37,none,rent,2,skilled employee/official,0 to 2,no,no,good
609,No Account,48,none open,car (new),4788,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,26,none,rent,1,skilled employee/official,3 or more,no,no,good
610,<0 DM,24,none open,car (used),3069,<100 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,30,none,own,1,skilled employee/official,0 to 2,no,no,good
611,<0 DM,12,none open,others,836,<100 DM,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,car or other,23,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
612,No Account,12,none open,car (used),2577,unknown/no savings account,1-3 yrs,25-34,male : divorced/separated,none,< 1 yr,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,no,no,good
613,No Account,12,none open,car (used),1620,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,co-applicant,4-6 yrs,car or other,30,none,rent,1,skilled employee/official,0 to 2,no,no,good
614,No Account,15,none open,car (used),1845,unknown/no savings account,<1 yr,<20,female: non-single or male: single,guarantor,< 1 yr,car or other,46,none,for free,1,skilled employee/official,0 to 2,no,no,good
615,No Account,24,none open,car (new),6579,unknown/no savings account,unemployed,<20,male : married/widowed,none,1-3 yrs,real estate,29,none,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
616,No Account,12,none open,others,1893,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,guarantor,>= 7 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,yes,no,good
617,No Account,30,fully paid back,car (new),10623,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,real estate,38,none,own,3,manager/self-empl./highly qualif,3 or more,yes,no,good
618,No Account,18,none open,others,2249,<100 DM,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,30,none,rent,1,manager/self-empl./highly qualif,3 or more,yes,no,good
619,No Account,30,none open,car (used),3108,unknown/no savings account,<1 yr,25-34,male : divorced/separated,none,>= 7 yrs,car or other,31,none,rent,1,unskilled - resident,0 to 2,no,no,bad
620,<0 DM,12,fully paid back,others,958,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,4-6 yrs,unknown / no property,47,none,rent,2,unskilled - resident,3 or more,no,no,good
621,>=200 DM,24,none open,car (new),9277,>=1000 DM,1-3 yrs,25-34,male : divorced/separated,none,>= 7 yrs,real estate,48,none,own,1,skilled employee/official,0 to 2,yes,no,good
622,>=200 DM,24,fully paid back,business,6314,unknown/no savings account,unemployed,<20,male : married/widowed,co-applicant,1-3 yrs,real estate,27,bank,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
623,No Account,12,fully paid back,car (new),1526,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,66,none,own,2,manager/self-empl./highly qualif,0 to 2,no,no,good
624,No Account,12,none open,car (used),3590,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,co-applicant,1-3 yrs,car or other,29,none,rent,1,unskilled - resident,3 or more,no,no,good
625,No Account,24,fully paid back,car (new),6615,unknown/no savings account,unemployed,25-34,male : married/widowed,none,>= 7 yrs,real estate,75,none,own,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
626,No Account,6,fully paid back,car (used),1872,unknown/no savings account,unemployed,<20,male : married/widowed,none,>= 7 yrs,real estate,36,none,own,3,manager/self-empl./highly qualif,0 to 2,yes,no,good
627,>=200 DM,12,none open,others,2859,>=1000 DM,unemployed,<20,male : married/widowed,none,>= 7 yrs,real estate,38,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
628,>=200 DM,18,fully paid back,furniture/equipment,1582,500-1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,46,none,rent,2,skilled employee/official,0 to 2,no,no,good
629,>=200 DM,6,none open,vacation,1238,>=1000 DM,unemployed,<20,male : married/widowed,none,>= 7 yrs,car or other,36,none,rent,1,manager/self-empl./highly qualif,3 or more,yes,no,good
630,No Account,12,none open,car (used),2578,unknown/no savings account,unemployed,20-24,female: non-single or male: single,none,>= 7 yrs,real estate,55,none,own,1,manager/self-empl./highly qualif,0 to 2,no,no,good
631,No Account,15,fully paid back,car (used),1433,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,4-6 yrs,car or other,25,none,for free,2,skilled employee/official,0 to 2,no,no,good
632,No Account,42,none open,car (used),7882,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,guarantor,>= 7 yrs,car or other,45,none,own,1,skilled employee/official,3 or more,no,no,good
633,No Account,24,none open,car (used),4169,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,car or other,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
634,No Account,36,none open,car (used),3959,unknown/no savings account,unemployed,<20,male : married/widowed,none,4-6 yrs,car or other,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
635,No Account,36,none open,others,3249,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,39,bank,own,1,manager/self-empl./highly qualif,3 or more,yes,no,good
636,No Account,24,none open,car (used),3149,unknown/no savings account,<1 yr,<20,male : married/widowed,none,< 1 yr,real estate,22,bank,own,1,skilled employee/official,0 to 2,no,no,good
637,No Account,12,fully paid back,car (used),2246,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,4-6 yrs,car or other,60,none,rent,2,skilled employee/official,0 to 2,no,no,bad
638,No Account,13,fully paid back,retraining,1797,unknown/no savings account,<1 yr,20-24,male : married/widowed,none,< 1 yr,car or other,28,bank,rent,2,unskilled - resident,0 to 2,no,no,good
639,No Account,20,fully paid back,car (used),4272,unknown/no savings account,>= 7 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,car or other,24,none,rent,2,skilled employee/official,0 to 2,no,no,good
